county_fips,county_code,county,traffic_deaths_2024,share_of_state_deaths
53001,1,Adams,6,0.008219
53003,3,Asotin,1,0.00137
53005,5,Benton,17,0.023288
53007,7,Chelan,7,0.009589
53009,9,Clallam,5,0.006849
53011,11,Clark,41,0.056164
53013,13,Columbia,0,0.0
53015,15,Cowlitz,23,0.031507
53017,17,Douglas,4,0.005479
53019,19,Ferry,1,0.00137
53021,21,Franklin,11,0.015068
53023,23,Garfield,0,0.0
53025,25,Grant,26,0.035616
53027,27,Grays Harbor,10,0.013699
53029,29,Island,14,0.019178
53031,31,Jefferson,5,0.006849
53033,33,King,152,0.208219
53035,35,Kitsap,18,0.024658
53037,37,Kittitas,9,0.012329
53039,39,Klickitat,1,0.00137
53041,41,Lewis,8,0.010959
53043,43,Lincoln,7,0.009589
53045,45,Mason,15,0.020548
53047,47,Okanogan,11,0.015068
53049,49,Pacific,2,0.00274
53051,51,Pend Oreille,1,0.00137
53053,53,Pierce,102,0.139726
53055,55,San Juan,1,0.00137
53057,57,Skagit,17,0.023288
53059,59,Skamania,2,0.00274
53061,61,Snohomish,64,0.087671
53063,63,Spokane,55,0.075342
53065,65,Stevens,9,0.012329
53067,67,Thurston,26,0.035616
53069,69,Wahkiakum,1,0.00137
53071,71,Walla Walla,6,0.008219
53073,73,Whatcom,12,0.016438
53075,75,Whitman,5,0.006849
53077,77,Yakima,35,0.047945
